,,,,,,,,,,,,,,
,PERFORMANCES,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Score ,,,,,,,,,,,,Key,
,,,,,,,,,,,,,,
,Technical,,Tools,,On site,,Off site,,UX,,GEO,,To optimize,<50% 
,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,May be optimisé,<75%
,,,,,,,,,,,,,Optimized,>75% 
,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,,
,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,,
,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,Video analysis,
,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,,
,,,,,,,,,,,,,"We can offer you a personalized video support for your technical audit. This video will be accessible at all times. If you are interested, please discuss it with your CS.",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,,
