URL,Recommendatin,Redirection URL 
https://silk.com/sites/default/files/articles/sections/our-partners-16,Redirect ,https://silk.com/about-us/
https://silk.com/default.htm,Redirect ,https://silk.com/about-us/
https://silk.com/about-us/b-corp-certification/,Redirect ,https://silk.com/about-us/
https://silk.com/silk-scoop,Redirect ,https://silk.com/
https://silk.com/Click,Redirect ,https://silk.com/
https://silk.com/recipes/pumpkin-,Redirect ,https://silk.com/plant-based-recipes/
https://silk.com/products/vanilla-cashewmilk,Redirect ,https://silk.com/plant-based-products/cashewmilk/unsweetened-cashewmilk/
https://silk.com/plant-based-products/maple-brown-sugar-oat-creamer,Redirect ,https://silk.com/plant-based-products/creamer/maple-brown-sugar/
https://silk.com/products/coffee-creamers/,Redirect ,https://silk.com/plant-based-products/creamer/
https://silk.com/original-organic-,Redirect ,https://silk.com/plant-based-products/almondmilk/original-organic-almondmilk/
https://silk.com/plant-based-products/original-soymilk/,Redirect ,https://silk.com/plant-based-products/soymilk/original-soymilk/
https://silk.com/plant-based-products/chocolate-soymilk/,Redirect ,https://silk.com/plant-based-products/soymilk/chocolate-soymilk/
https://silk.com/plant-based-products/original-almondmilk,Redirect ,https://silk.com/plant-based-products/almondmilk/original-almondmilk/
https://silk.com/plant-based-products/original-soymilk,Redirect ,https://silk.com/plant-based-products/soymilk/original-soymilk/
https://silk.com/plant-based-products/original-coconutmilk,Redirect ,https://silk.com/plant-based-products/coconutmilk/original-coconutmilk/
